maze_size,algorithm,time,path_length,nodes_explored
12,BFS,0.000053,45,56
12,DFS,0.000043,45,45
12,A*Man,0.000077,45,55
12,A*Euc,0.000107,45,55
12,MDP_value,0.013542,45,144
12,MDP_policy,0.012968,45,144
14,BFS,0.000097,81,114
14,DFS,0.000169,81,164
14,A*Man,0.000142,81,100
14,A*Euc,0.000237,81,100
14,MDP_value,0.017083,81,196
14,MDP_policy,0.021744,81,196
16,BFS,0.000098,73,111
16,DFS,0.000065,73,73
16,A*Man,0.000215,73,101
16,A*Euc,0.000229,73,107
16,MDP_value,0.027867,73,256
16,MDP_policy,0.032758,73,256
18,BFS,0.000155,141,202
18,DFS,0.000203,141,288
18,A*Man,0.000263,141,194
18,A*Euc,0.000340,141,194
18,MDP_value,0.050536,141,324
18,MDP_policy,0.053094,141,324
20,BFS,0.000155,155,202
20,DFS,0.000199,155,254
20,A*Man,0.000299,155,180
20,A*Euc,0.000303,155,181
20,MDP_value,0.067810,155,400
20,MDP_policy,0.070129,155,400
22,BFS,0.000236,211,324
22,DFS,0.000219,211,293
22,A*Man,0.000417,211,313
22,A*Euc,0.000484,211,313
22,MDP_value,0.113378,211,484
22,MDP_policy,0.113132,211,484
24,BFS,0.000232,207,307
24,DFS,0.000592,207,459
24,A*Man,0.000472,207,297
24,A*Euc,0.000523,207,300
24,MDP_value,0.136614,207,576
24,MDP_policy,0.124162,207,576
26,BFS,0.000212,131,240
26,DFS,0.000207,131,224
26,A*Man,0.000381,131,206
26,A*Euc,0.000333,131,208
26,MDP_value,0.166373,131,676
26,MDP_policy,0.154728,131,676
28,BFS,0.000448,301,505
28,DFS,0.000430,301,513
28,A*Man,0.000590,301,454
28,A*Euc,0.000840,301,458
28,MDP_value,0.270258,301,784
28,MDP_policy,0.229553,301,784
30,BFS,0.000634,405,868
30,DFS,0.000527,405,671
30,A*Man,0.000987,405,770
30,A*Euc,0.001218,405,786
30,MDP_value,0.407172,405,900
30,MDP_policy,0.320988,405,900
32,BFS,0.000688,479,988
32,DFS,0.000601,479,839
32,A*Man,0.001157,479,865
32,A*Euc,0.001879,479,876
32,MDP_value,0.556703,479,1024
32,MDP_policy,0.459175,479,1024
34,BFS,0.000775,441,1004
34,DFS,0.000651,441,801
34,A*Man,0.001180,441,921
34,A*Euc,0.001432,441,931
34,MDP_value,0.625538,441,1156
34,MDP_policy,0.477747,441,1156
36,BFS,0.000313,277,445
36,DFS,0.000407,277,476
36,A*Man,0.000513,277,409
36,A*Euc,0.000618,277,409
36,MDP_value,0.403446,277,1296
36,MDP_policy,0.382247,277,1296
38,BFS,0.001024,799,1318
38,DFS,0.001034,799,1260
38,A*Man,0.001758,799,1269
38,A*Euc,0.002034,799,1270
38,MDP_value,1.293811,799,1444
38,MDP_policy,0.929327,799,1444
40,BFS,0.000638,425,842
40,DFS,0.000612,425,820
40,A*Man,0.004317,425,782
40,A*Euc,0.001274,425,799
40,MDP_value,0.786484,425,1600
40,MDP_policy,0.643891,425,1600
42,BFS,0.000721,717,1037
42,DFS,0.000731,717,1010
42,A*Man,0.001305,717,1030
42,A*Euc,0.001762,717,1030
42,MDP_value,1.503772,717,1764
42,MDP_policy,1.136279,717,1764
44,BFS,0.000823,607,1121
44,DFS,0.000646,607,920
44,A*Man,0.001281,607,1088
44,A*Euc,0.001602,607,1088
44,MDP_value,1.378886,607,1936
44,MDP_policy,1.089553,607,1936
46,BFS,0.001076,877,1478
46,DFS,0.001189,877,1708
46,A*Man,0.001768,877,1440
46,A*Euc,0.002131,877,1440
46,MDP_value,2.282338,877,2116
46,MDP_policy,1.632323,877,2116
48,BFS,0.000805,605,1138
48,DFS,0.000795,605,921
48,A*Man,0.001409,605,1113
48,A*Euc,0.001722,605,1115
48,MDP_value,1.635069,605,2304
48,MDP_policy,1.308017,605,2304
50,BFS,0.001757,923,2318
50,DFS,0.001364,923,1427
50,A*Man,0.002983,923,2073
50,A*Euc,0.003408,923,2124
50,MDP_value,2.608116,923,2500
50,MDP_policy,1.874658,923,2500
52,BFS,0.001574,885,2278
52,DFS,0.001695,885,2410
52,A*Man,0.002633,885,2207
52,A*Euc,0.003539,885,2214
52,MDP_value,2.715244,885,2704
52,MDP_policy,2.013929,885,2704
54,BFS,0.001010,617,1353
54,DFS,0.001695,617,2254
54,A*Man,0.001565,617,1167
54,A*Euc,0.002056,617,1213
54,MDP_value,2.544968,617,2916
54,MDP_policy,1.870069,617,2916
56,BFS,0.000994,789,1358
56,DFS,0.001714,789,2317
56,A*Man,0.001538,789,1262
56,A*Euc,0.002210,789,1278
56,MDP_value,2.757676,789,3136
56,MDP_policy,2.148171,789,3136
58,BFS,0.000824,735,1140
58,DFS,0.001344,735,1731
58,A*Man,0.001491,735,1108
58,A*Euc,0.001795,735,1110
58,MDP_value,2.745197,735,3364
58,MDP_policy,2.297712,735,3364
60,BFS,0.001402,967,1701
60,DFS,0.002295,967,1450
60,A*Man,0.002166,967,1615
60,A*Euc,0.002560,967,1615
60,MDP_value,4.066929,967,3600
60,MDP_policy,3.103649,967,3600
62,BFS,0.001337,1083,1783
62,DFS,0.003309,1083,3583
62,A*Man,0.002320,1083,1673
62,A*Euc,0.003289,1083,1680
62,MDP_value,4.923628,1083,3844
62,MDP_policy,3.048820,1083,3844
64,BFS,0.002776,1601,3847
64,DFS,0.002434,1601,3322
64,A*Man,0.004738,1601,3722
64,A*Euc,0.006355,1601,3738
64,MDP_value,7.684031,1601,4096
64,MDP_policy,3.057066,1601,4096
66,BFS,0.000866,695,1206
66,DFS,0.002919,695,3977
66,A*Man,0.001562,695,1206
66,A*Euc,0.002006,695,1206
66,MDP_value,5.630396,695,4356
66,MDP_policy,3.763142,695,4356
68,BFS,0.002493,1033,3114
68,DFS,0.002257,1033,3039
68,A*Man,0.003538,1033,2691
68,A*Euc,0.004909,1033,2827
68,MDP_value,7.124118,1033,4624
68,MDP_policy,3.613523,1033,4624
70,BFS,0.001959,1223,2413
70,DFS,0.001336,1223,1718
70,A*Man,0.003194,1223,2385
70,A*Euc,0.003774,1223,2387
70,MDP_value,7.289740,1223,4900
70,MDP_policy,3.758725,1223,4900
72,BFS,0.001087,1033,1456
72,DFS,0.002040,1033,2485
72,A*Man,0.001737,1033,1391
72,A*Euc,0.002308,1033,1394
72,MDP_value,6.037015,1033,5184
72,MDP_policy,4.036434,1033,5184
74,BFS,0.002651,1765,3395
74,DFS,0.003604,1765,4477
74,A*Man,0.004259,1765,3333
74,A*Euc,0.005199,1765,3339
74,MDP_value,11.304159,1765,5476
74,MDP_policy,4.255111,1765,5476
76,BFS,0.000950,729,1119
76,DFS,0.000769,729,909
76,A*Man,0.001261,729,1051
76,A*Euc,0.001742,729,1063
76,MDP_value,11.152868,729,5776
76,MDP_policy,4.617137,729,5776
78,BFS,0.002254,1403,2911
78,DFS,0.004334,1403,5152
78,A*Man,0.004171,1403,2841
78,A*Euc,0.005066,1403,2853
78,MDP_value,10.467352,1403,6084
78,MDP_policy,6.296554,1403,6084
80,BFS,0.002048,993,2527
80,DFS,0.004959,993,5706
80,A*Man,0.005895,993,2450
80,A*Euc,0.004515,993,2515
80,MDP_value,15.355654,993,6400
80,MDP_policy,5.578275,993,6400
82,BFS,0.001647,929,2007
82,DFS,0.005558,929,6098
82,A*Man,0.003580,929,1938
82,A*Euc,0.004044,929,1948
82,MDP_value,13.657209,929,6724
82,MDP_policy,5.543887,929,6724
84,BFS,0.005690,2663,6363
84,DFS,0.004660,2663,5293
84,A*Man,0.009304,2663,5800
84,A*Euc,0.012498,2663,5878
84,MDP_value,15.449208,2663,7056
84,MDP_policy,6.090713,2663,7056
86,BFS,0.002953,1835,3679
86,DFS,0.002424,1835,2996
86,A*Man,0.004976,1835,3603
86,A*Euc,0.005903,1835,3621
86,MDP_value,16.023288,1835,7396
86,MDP_policy,5.890856,1835,7396
88,BFS,0.005816,3087,7417
88,DFS,0.004831,3087,5279
88,A*Man,0.009706,3087,7372
88,A*Euc,0.012933,3087,7381
88,MDP_value,18.172664,3087,7744
88,MDP_policy,6.189441,3087,7744
90,BFS,0.003176,1405,3869
90,DFS,0.002777,1405,3658
90,A*Man,0.004828,1405,3486
90,A*Euc,0.005733,1405,3546
90,MDP_value,18.455817,1405,8100
90,MDP_policy,7.073120,1405,8100
92,BFS,0.008118,2995,7944
92,DFS,0.005272,2995,5679
92,A*Man,0.012345,2995,7578
92,A*Euc,0.013525,2995,7673
92,MDP_value,19.315046,2995,8464
92,MDP_policy,7.139916,2995,8464
94,BFS,0.007110,2603,7986
94,DFS,0.004647,2603,5457
94,A*Man,0.011823,2603,7647
94,A*Euc,0.013034,2603,7802
94,MDP_value,19.886865,2603,8836
94,MDP_policy,7.130715,2603,8836
96,BFS,0.002173,1313,2689
96,DFS,0.001276,1313,1701
96,A*Man,0.003260,1313,2637
96,A*Euc,0.004777,1313,2637
96,MDP_value,20.227346,1313,9216
96,MDP_policy,7.992399,1313,9216
98,BFS,0.001574,763,1167
98,DFS,0.000792,763,888
98,A*Man,0.001795,763,1134
98,A*Euc,0.002103,763,1134
98,MDP_value,20.744532,763,9604
98,MDP_policy,8.305138,763,9604
100,BFS,0.004872,2485,5379
100,DFS,0.007511,2485,8583
100,A*Man,0.008360,2485,5329
100,A*Euc,0.010148,2485,5330
